ano,id_municipio,tipo_1,tipo_2,tipo_3,tipo_4,tipo_5,tipo_6
2015,3100104,197.51176684985134,41.8173306471555,626.53269729508565,2.8608034532470681,12.3307636448974,
2016,3100104,194.46146232482715,41.994935783508,629.35529372507142,2.9466375087890571,12.2950325480346,
2017,3100104,192.74705730053492,41.9279178915403,631.667809879182,3.1326871276245081,11.5778896913452,
2018,3100104,192.30210516387746,41.6145794091794,631.9707556362556,3.640708807800296,11.525212873108,
2019,3100104,190.04604453539883,39.5074865324703,636.96940964498674,2.57779090875245,11.9526302686158,
2015,3100203,582.540012876045,85.0393690636594,1108.0545151771312,8.6675906553345712,32.7601710340582,
2016,3100203,584.748692210823,83.686990849853387,1106.9209757709646,9.1766903416748491,32.5283096329353,
2017,3100203,584.385479360418,79.494223551330393,1112.0837254799403,9.6274260086670687,31.4708044058839,
2018,3100203,576.63388416553107,76.1185088309331,1122.1500181357926,10.372584477539171,31.7866631964113,
2019,3100203,572.39153714234,74.1433364096073,1124.1195197451516,10.904364578735549,35.5029009303592,
2015,3100302,96.935282056882016,0.287101222412109,369.78407038016627,1.680472020324709,1.85857429107665,0.0
2016,3100302,95.007180176387692,0.26106811743164,371.61977500203432,1.7997367379760749,1.85773993701171,0.0
2017,3100302,99.700433234066622,0.224965609191894,366.95248901575962,1.7888588959960949,1.8787532158203,0.0
2018,3100302,102.54974778289241,0.23841185925293,363.888109747754,1.9593873709716823,1.89387972814941,0.0159634818115234
2019,3100302,101.58446967382521,0.151113492004394,365.054115896989,1.91906969683839,1.83673121118164,0.0
2015,3100401,26.556669523681592,0.0,74.6317179335345,0.490230694824219,0.209035033325195,0.0
2016,3100401,26.469396581237785,0.0,74.71059514093,0.498626429870606,0.209035033325195,0.0
2017,3100401,26.565827334533566,0.0,74.585629576905291,0.525482235839844,0.210714038085937,0.0
2018,3100401,27.078636843078321,0.0,74.0115486408706,0.583396854370117,0.210714045227051,0.0033568018188477
2019,3100401,27.2205207323603,0.0,73.8637870904558,0.594310336425781,0.209035026123047,0.0
2015,3100500,372.02767314752765,0.13200945324707,438.94187185719329,0.48135028302002003,3.84916344506835,0.0
2016,3100500,374.57612417291557,0.157398342956543,436.30625935497619,0.586246445556641,3.80603986968992,0.0
2017,3100500,379.37236588624,0.0888420544433594,431.56167417138221,0.63275261212158207,3.77643346191403,0.0
2018,3100500,385.21082268658932,0.12016422265625,425.65215551709218,0.6801031404418949,3.75612496704099,0.0126976522827148
2019,3100500,384.34269257788588,0.116779322265625,426.47545895020153,0.77741071081543,3.71972662493895,0.0
2015,3100609,698.57067852173577,0.0859482979125976,619.943677060243,0.751838708251953,0.91403226293945294,0.0
2016,3100609,706.55362155925093,0.0681412474975586,611.93510988742,0.81824424053955,0.89105791638183507,0.0
2017,3100609,722.534453116422,0.0587964931640625,595.843763765066,0.943206748168945,0.885954728271483,0.0
2018,3100609,760.15595057593043,0.029818155456543,557.541597650957,0.969583110168456,0.91657356500244,0.652651793579101
2019,3100609,761.47816462300693,0.0144815466308594,556.86011423084,1.0036516139526361,0.90976283666992008,0.0
2015,3100708,36.083123618961281,0.0042096058349609,403.64980660869327,0.39196835131836,52.0840526652856,0.0
2016,3100708,37.329184164554555,0.0109449415893555,402.40120926685051,0.41889200366211021,52.0529304734521,0.0
2017,3100708,37.484148352787052,0.0345129644775391,402.24622387506952,0.42225411352539061,52.0260215442528,0.0
2018,3100708,37.274662723941837,0.070711003112793,402.42456484498297,0.42981827142334028,52.0091954832177,0.0042085234375
2019,3100708,37.42701625970853,0.0202045709228516,402.31346434584049,0.44243774621582088,52.0100379274315,0.0
2015,3100807,46.752338287231112,0.34034539703369071,166.93278677404078,0.61387101153564572,17.4492972505493,0.0
2016,3100807,47.235760521607027,0.333649818542481,166.43682197435948,0.64146931573486365,17.4409370901489,0.0
2017,3100807,47.094627348144876,0.373791869140625,167.170693116449,0.78359779650878991,16.665928590149,0.0
2018,3100807,47.0969796583258,0.401393496643067,167.27288758636055,0.762701587768555,16.5530048058473,0.0016715854492188
2019,3100807,45.968023748046811,0.214054710632324,168.17854500017771,0.76939238067626892,16.9586228808593,0.0
2015,3100906,410.94574916629551,3.8882610828247,402.86168632057013,2.3347369588622948,0.0393752581176758,0.0
2016,3100906,423.15802510825773,3.93359604425048,390.57755899027291,2.3681001562499957,0.0325284876708984,0.0
2017,3100906,432.82311367265913,3.9129997029419,380.92365239754884,2.3663891941528328,0.0436538193969726,0.0
2018,3100906,437.01626863333951,3.92837648840332,375.55058314267012,2.38692080224609,0.0676109248046875,1.12004879522705
2019,3100906,428.86259498362949,3.81716586590577,384.831985130162,2.4485126068725731,0.109550200134277,0.0
2015,3101003,951.67536316097789,1.05043091424561,296.97745708593152,3.30277796569823,3.53081870788576,0.0
2016,3101003,949.39288840149106,1.97460494799804,297.98694365606008,3.8601480222167996,3.32226280694581,0.0
2017,3101003,943.24482051417908,1.28304005084229,305.3668061605145,3.40951378704833,3.23266732214356,0.0
2018,3101003,946.23462224679008,0.684426706115723,302.069054907282,2.9751645695190319,2.9830328544922,1.59054655053711
2019,3101003,952.070466486454,0.604330176147462,298.17777435839031,2.9803328715209902,2.70394394213868,0.0
2015,3101102,136.98058372479696,9.606352103149403,1175.915323936109,7.1034483524168666,19.3187913299562,0.0
2016,3101102,141.06708119073949,9.4611843510741966,1171.9132444257041,7.32625840606678,19.156731072876,0.0
2017,3101102,140.49172251685314,9.9316153504638756,1171.5086390632421,7.89573077410877,19.0967917418214,0.0
